iter	RMSE
0	5.182596264
1	5.170789568
2	5.159904622
3	5.149012622
4	5.137662402
5	5.126387357
6	5.116276089
7	5.11556021
8	5.104504927
9	5.09253269
10	5.08294328
11	5.072744214
12	5.063707278
13	5.051944403
14	5.051261189
15	5.042337737
16	5.033580232
17	5.02236157
18	5.013924339
19	5.003696618
20	4.995554478
21	4.991615651
22	4.982857601
23	4.972446256
24	4.963624862
25	4.952471628
26	4.9435753
27	4.936301824
28	4.934671139
29	4.926964936
30	4.923517346
31	4.915609769
32	4.908732702
33	4.905287785
34	4.904306738
35	4.899821173
36	4.891983773
37	4.890668335
38	4.885624587
39	4.884685324
40	4.877253551
41	4.876241759
42	4.868818712
43	4.86789365
44	4.860641712
45	4.85308628
46	4.852561394
47	4.844578133
48	4.844067133
49	4.842126769
50	4.835536963
51	4.829198929
52	4.828707921
53	4.820476979
54	4.81676867
55	4.811157247
56	4.810161272
57	4.803600006
58	4.7980416
59	4.79757219
60	4.791509746
61	4.786418648
62	4.780302056
63	4.774617918
64	4.768546737
65	4.762383967
66	4.756465789
67	4.751912969
68	4.746734131
69	4.742494587
70	4.737296505
71	4.732011591
72	4.727328187
73	4.726331227
74	4.725907933
75	4.72058061
76	4.718221962
77	4.716170401
78	4.711667693
79	4.707645429
80	4.707247698
81	4.702741001
82	4.701658607
83	4.697854855
84	4.693918458
85	4.691720475
86	4.687347774
87	4.68631119
88	4.682186641
89	4.678620734
90	4.677355315
91	4.676417225
92	4.675257596
93	4.671848072
94	4.671403629
95	4.668751752
96	4.663597513
97	4.662849951
98	4.657592636
99	4.656885757
100	4.652606063
101	4.651734157
102	4.64754533
103	4.644427777
104	4.640742527
105	4.640063579
106	4.637058781
107	4.634111656
108	4.633799372
109	4.633491615
110	4.630587405
111	4.627757026
112	4.624576538
113	4.622251861
114	4.621955948
115	4.618849582
116	4.616268492
117	4.615627842
118	4.611325667
119	4.606980269
120	4.604468014
121	4.602004003
122	4.601217108
123	4.600224352124	3.824342041
125	3.823371388
126	3.819006748
127	3.813481036
128	3.808409221
129	3.804227701
130	3.800137424
131	3.795268407
132	3.791254689
133	3.787014403
134	3.781966468
135	3.778603151
136	3.778033776
137	3.774217918
138	3.769286249
139	3.763255177
140	3.761323131
141	3.760682251
142	3.757037118
143	3.756508441
144	3.752919338
145	3.752024554
146	3.748924148
147	3.74376988
148	3.743278306
149	3.739807685
150	3.735623653
151	3.730075388
152	3.72675353
153	3.722420872
154	3.717628525
155	3.714499903
156	3.709232504
157	3.705843181
158	3.70174159	4.534803875
160	4.534617871
161	4161	3.69153162	4162	3.68740163	4163	3.68491164	4164	3.68139165	4165	3.6765166	4.166	3.6719167	4.167	3.6695168	4.168	3.6649169	4.169	3.6621170	4.522583718
171	4.521099659
172	4.519559438
173	4.517794063
174	4.174	3.6500175	4175	3.64669176	4176	3.64232177	4177	3.63891178	4178	3.636198007
179	3.631967773
180	3.62788074
181	3.625568377
182	3.622343279
183	3.618489704
184	3.615634997
185	3.611889068
186	3.609196092
187	3.605861171
188	3.602091984
189	3.598850468
190	3.596814691
191	3.593970381
192	3.591993887
193	3.588437555
194	3.585811167
195	3.583110868
196	3.581249684
197	3.579415684
198	3.576208324
199	3.573571108
200	3.571338472
201	3.56810897
202	3.566404935
203	3.563229872
204	3.560119255
205	3.558061389
206	3.557544821
207	3.555935043
208	3.552445487
209	3.550143871
210	3.548659099
211	3.545682317
212	3.543912698
213	3.541075598
214	3.540579146
215	3.537906116
216	3.535050236
217	3.532466805
218	3.529697073
219	3.529079225
220	3.52698958
221	3.524638826
222	3.522027677
223	3.519999619
224	3.517804414
225	3.515886361
226	3.514622737
227	3.512194549
228	3.511617565
229	3.510028004
230	3.50758092
231	3.506388716
232	3.50521381
233	3.503441417
234	3.501656929
235	3.499371002
236	3.498264196
237	3.496351552
238	3.494631154
239	3.49299771
240	3.490838879
241	3.488597703
242	3.486486431
243	3.484931849
244	3.483376989
245	3.482079471
246	3.481119808
247	3.478881796
248	3.476865672
249	3.4754248
250	3.474004571
251	3.47210663
252	3.471288743
253	3.469923014
254	3.469130907
255	3.467216666
256	3.46521513
257	3.463286904
258	3.462003648
259	3.460680493
260	3.459233197
261	3.457544676
262	3.45579222
263	3.454073911
264	3.452823952
265	3.452093348
266	3.450553944
267	3.448992831
268	3.447756241
269	3.446650498
270	3.445969741
271	3.444888964
272	3.443635079
273	3.442173763
274	3.440736093
275	3.439225052
276	3.437810376
277	3.436393863
278	3.434998188
279	3.433661139
280	3.432704945
281	3.431383852
282	3.430022663
283	3.428738258
284	3.427445625
285	3.426143561
286	3.424913632
287	3.424019701
288	3.422763774
289	3.421763073
290	3.420776643
291	3.419561459
292	3.41873092
293	3.417846976
294	3.416911808
295	3.415736765
296	3.414599478
297	3.413542804
298	3.412460549
299	3.411657935
300	3.410602375
301	3.40954069
302	3.408829486
303	3.4080629
304	3.407812955
305	3.406827927
306	3.405880819
307	3.4051499
308	3.404353211
309	3.403419655
310	3.402400744
311	3.401763029
312	3.400840648
313	3.399976098
314	3.399035324
315	3.398430284
316	3.397578228
317	3.396731625
318	3.395923901
319	3.39510106
320	3.394317045
321	3.393544932
322	3.3929933
323	3.39244871
324	3.391911063
325	3.391082708
326	3.39033851
327	3.389620087
328	3.38891495
329	3.388410812
330	3.387627729
331	3.386856049
332	3.386095594
333	3.385434241
334	3.384651871
335	3.383955731
336	3.383236759
337	3.382592438
338	3.381976197
339	3.381369056
340	3.380746157
341	3.380071598
342	3.379489601
343	3.379068078
344	3.378475774
345	3.37783221
346	3.377164416
347	3.376619684
348	3.376080275
349	3.375472191
350	3.374946514
351	3.374583811
352	3.374207019
353	3.373700561
354	3.373177612
355	3.372661947
356	3.372303482
357	3.371744147
358	3.371247028
359	3.370675131
360	3.370213575
361	3.369758628
362	3.369234739
363	3.3687922
364	3.368281703
365	3.36784596
366	3.367416045
367	3.366970496
368	3.366534906
369	3.366127116
370	3.365702998
371	3.365300141
372	3.364836983
373	3.364444704
374	3.364063614
375	3.363681623
376	3.363288461
377	3.362852476
378	3.362470002
379	3.362045526
380	3.361673426
381	3.361306409
382	3.360963981
383	3.360560099
384	3.360219447
385	3.359870897
386	3.35953875
387	3.359154175
388	3.358837947
389	3.35846297
390	3.358136365
391	3.357801484
392	3.35757032
393	3.357273282
394	3.356919195
395	3.356570201
396	3.356284659
397	3.355944321
398	3.355658523
399	3.355326766
400	3.355038947
401	3.354715814
402	3.354435679
403	3.354149807
404	3.353838981
405	3.353532599
406	3.353256049
407	3.352989109
408	3.352694408
409	3.352445926
410	3.352207953
411	3.351965726
412	3.35168452
413	3.35144118
414	3.35120786
415	3.350936885
416	3.350709511
417	3.350468074
418	3.350207083
419	3.349949803
420	3.349733667
421	3.349482794
422	3.349235481
423	3.348991671
424	3.348786341
425	3.348548588
426	3.348333666
427	3.348142123
428	3.347912956
429	3.347687024
430	3.347485915
431	3.347292286
432	3.347074675
433	3.346860126
434	3.346668955
435	3.346485038
436	3.346314142
437	3.34610958
438	3.345907891
439	3.34570903
440	3.345512953
441	3.345352424
442	3.345161061
443	3.34499237
444	3.344805898
445	3.344622027
446	3.344471232
447	3.344308585
