iter	Passed	Remaining
0	0	345
1	0	319
2	0	292
3	1	329
4	1	343
5	2	338
6	2	323
7	2	309
8	2	311
9	3	312
10	3	303
11	3	299
12	3	295
13	4	302
14	4	295
15	4	291
16	4	288
17	5	292
18	5	290
19	6	296
20	6	292
21	6	289
22	6	289
23	7	295
24	7	297
25	7	297
26	8	296
27	8	294
28	8	296
29	9	300
30	9	303
31	10	306
32	10	306
33	10	305
34	11	303
35	11	303
36	11	304
37	11	303
38	12	302
39	12	300
40	12	299
41	13	298
42	13	300
43	13	299
44	14	300
45	14	299
46	14	296
47	15	298
48	15	295
49	15	295
50	15	294
51	16	293
52	16	290
53	16	291
54	16	290
55	17	289
56	17	288
57	17	288
58	17	286
59	18	284
60	18	284
61	18	283
62	19	284
63	19	284
64	19	285
65	20	287
66	20	287
67	20	286
68	21	286
69	21	287
70	22	288
71	22	292
72	22	291
73	23	290
74	23	290
75	23	290
76	24	291
77	24	294
78	25	294
79	25	296
80	37	426
81	37	424
82	38	422
83	38	420
84	38	418
85	39	415
86	39	413
87	39	412
88	40	410
89	40	408
90	40	406
91	40	404
92	41	402
93	41	400
94	41	398
95	42	397
96	42	397
97	42	394
98	43	393
99	43	391
100	43	390
101	44	388
102	44	387
103	44	385
104	45	384
105	45	382
106	45	380
107	45	378
108	46	376
109	46	374
110	46	372
111	46	370
112	47	369
113	47	368
114	47	366
115	48	366
116	48	365
117	48	363
118	49	362
119	49	362
120	49	360
121	49	358
122	50	357
123	50	356
12124	71	502
125	72	500
126	72	497
127	72	495
128	73	492
129	73	491
130	73	488
131	74	486
132	74	484
133	74	482
134	75	481
135	75	478
136	75	476
137	75	474
138	76	472
139	76	471
140	77	469
141	77	466
142	78	472
143	78	469
144	79	467
145	79	464
146	79	462
147	79	460
148	80	457
149	80	455
150	81	457
151	81	457
152	82	455
153	82	453
154	82	452
155	83	450
156	87	469
157	87	468
158	88	46159	76	403
16160	90	4616161	90	4616162	90	4616163	91	4616164	91	4616165	92	4616166	92	4616167	92	4516168	93	4516169	93	45170	80	389
171	80	388
172	80	386
173	81	385
17174	94	4417175	95	4417176	95	4417177	95	4417178	96	440
179	96	439
180	97	438
181	97	437
182	98	439
183	98	438
184	99	436
185	99	435
186	99	433
187	100	432
188	100	431
189	100	429
190	101	428
191	101	426
192	101	425
193	102	423
194	102	423
195	102	421
196	103	420
197	103	418
198	103	417
199	103	415
200	104	414
201	104	413
202	110	435
203	111	434
204	111	433
205	111	431
206	112	429
207	112	428
208	112	427
209	114	429
210	114	428
211	115	427
212	115	426
213	115	425
214	116	424
215	116	423
216	117	422
217	117	421
218	118	421
219	118	420
220	119	419
221	119	419
222	119	417
223	120	416
224	120	415
225	121	414
226	121	412
227	121	411
228	121	410
229	122	409
230	122	408
231	122	406
232	123	405
233	123	404
234	123	403
235	124	402
236	124	400
237	124	399
238	125	398
239	125	397
240	125	396
241	126	395
242	126	394
243	126	393
244	127	392
245	127	391
246	128	390
247	128	389
248	128	388
249	129	387
250	129	386
251	129	385
252	130	384
253	130	382
254	130	381
255	131	380
256	131	380
257	131	379
258	132	377
259	132	377
260	133	379
261	134	379
262	135	378
263	135	377
264	135	376
265	136	375
266	136	374
267	136	373
268	137	372
269	137	371
270	137	370
271	138	369
272	141	377
273	142	377
274	142	376
275	143	375
276	143	374
277	144	374
278	144	374
279	145	373
280	145	372
281	145	371
282	146	370
283	146	370
284	147	369
285	147	368
286	148	368
287	148	367
288	149	367
289	149	366
290	150	365
291	150	366
292	152	367
293	152	366
294	152	365
295	153	364
296	153	364
297	154	363
298	154	362
299	155	361
300	155	360
301	155	359
302	156	359
303	156	358
304	156	357
305	157	356
306	157	356
307	158	356
308	158	355
309	159	354
310	159	353
311	160	352
312	160	352
313	160	351
314	161	350
315	161	350
316	162	349
317	162	348
318	162	347
319	163	347
320	163	346
321	164	345
322	164	344
323	165	344
324	165	344
325	166	343
326	166	342
327	167	342
328	168	342
329	168	341
330	168	341
331	169	340
332	170	340
333	170	340
334	171	341
335	172	340
336	172	340
337	175	343
338	175	342
339	176	341
340	176	341
341	177	340
342	177	340
343	177	339
344	178	338
345	179	339
346	180	338
347	180	338
348	181	337
349	181	337
350	182	336
351	182	335
352	182	335
353	183	334
354	183	333
355	184	333
356	184	332
357	184	331
358	185	331
359	185	330
360	186	329
361	186	328
362	187	328
363	187	327
364	187	326
365	188	326
366	188	325
367	189	324
368	189	324
369	189	323
370	190	322
371	191	322
372	191	322
373	192	321
374	192	320
375	193	320
376	193	320
377	194	319
378	194	318
379	195	318
380	195	317
381	195	316
382	196	316
383	196	315
384	197	315
385	197	314
386	198	314
387	198	313
388	199	312
389	199	311
390	199	311
391	200	310
392	200	309
393	201	309
394	201	308
395	201	307
396	202	307
397	202	306
398	203	306
399	203	305
400	204	304
401	204	304
402	205	303
403	205	303
404	205	302
405	207	303
406	207	302
407	208	302
408	208	301
409	209	301
410	209	300
411	210	299
412	210	299
413	210	298
414	211	298
415	212	297
416	212	297
417	212	296
418	213	295
419	213	295
420	214	294
421	214	293
422	215	293
423	215	292
424	215	292
425	216	291
426	216	290
427	217	290
428	217	289
429	217	288
430	218	288
431	218	287
432	219	286
433	219	286
434	220	285
435	220	285
436	220	284
437	221	284
438	221	283
439	222	282
440	222	282
441	222	281
442	223	280
443	224	280
444	224	280
445	225	279
446	225	278
447	225	278
448	226	277
449	226	277
450	227	276
451	227	275
452	228	275
453	228	274
454	229	274
455	229	273
456	229	273
457	230	272
458	230	271
459	231	271
460	231	270
461	231	270
462	232	269
463	232	268
464	233	268
465	233	267
466	233	267
467	234	266
468	234	265
469	235	265
470	235	264
471	236	264
472	236	263
473	237	263
474	237	262
475	237	261
476	238	261
477	238	260
478	239	260
479	239	259
480	241	260
481	242	260
482	242	259
483	242	259
484	243	258
485	244	258
486	244	258
487	245	257
488	245	256
489	246	256
490	246	255
491	247	255
492	247	254
493	248	254
494	248	253
495	249	253
496	249	252
497	249	251
498	250	251
499	250	250
500	251	250
501	251	249
502	252	249
503	252	248
504	253	248
505	253	247
506	254	247
507	254	246
508	254	245
509	255	245
510	255	244
511	256	244
512	256	243
513	257	243
514	257	242
515	258	242
516	258	241
517	259	241
518	259	240
519	259	239
520	260	239
521	260	238
522	261	238
523	261	237
524	262	237
525	262	236
526	263	236
527	263	235
528	263	235
529	264	234
530	264	233
531	265	233
532	265	232
533	266	232
534	266	231
535	267	231
536	267	230
537	267	230
538	268	229
539	268	228
540	269	228
541	269	227
542	270	227
543	270	226
544	270	226
545	271	225
546	271	225
547	272	224
548	272	224
549	273	223
550	273	222
551	274	222
552	274	222
553	275	221
554	275	221
555	276	220
556	276	220
557	277	219
558	277	218
559	278	218
560	278	217
561	279	217
562	279	216
563	279	216
564	280	215
565	280	215
566	281	214
567	281	214
568	282	213
569	282	213
570	283	212
571	283	212
572	283	211
573	284	211
574	284	210
575	285	209
576	285	209
577	285	208
578	286	208
579	286	207
580	287	207
581	287	206
582	288	206
583	288	205
584	288	205
585	289	204
586	290	204
587	291	204
588	292	203
589	292	203
590	292	202
591	293	202
592	293	201
593	294	201
594	294	200
595	295	199
596	295	199
597	295	198
598	296	198
599	296	197
600	297	197
601	297	196
602	298	196
603	298	195
604	298	195
605	299	194
606	299	194
607	300	193
608	300	193
609	301	192
610	301	192
611	302	191
612	303	191
613	303	190
614	304	190
615	304	190
616	305	189
617	305	189
618	306	188
619	306	188
620	307	187
621	307	187
622	308	186
623	308	186
624	309	185
625	309	184
626	309	184
627	310	183
628	310	183
629	311	182
630	311	182
631	312	181
632	312	181
633	312	180
634	313	180
635	313	179
636	314	179
637	314	178
638	315	178
639	315	177
640	316	177
641	316	176
642	317	176
643	317	175
644	318	175
645	318	174
646	318	173
647	319	173
648	319	172
649	320	172
650	320	171
651	320	171
652	321	170
653	321	170
654	322	169
655	322	169
656	323	168
657	324	168
658	324	168
659	325	167
660	325	167
661	326	166
662	326	166
663	327	165
664	327	164
665	327	164
666	328	163
667	328	163
668	329	162
669	329	162
670	330	161
671	330	161
672	331	160
673	331	160
674	331	159
675	332	159
676	332	158
677	333	158
678	333	157
679	334	157
680	334	156
681	334	156
682	335	155
683	335	155
684	336	154
685	336	154
686	337	153
687	337	153
688	338	152
689	338	152
690	338	151
691	339	151
692	340	150
693	340	150
694	341	149
695	342	149
696	343	149
697	343	148
698	345	148
699	345	148
700	346	147
701	346	147
702	346	146
703	347	146
704	348	145
705	348	145
706	349	144
707	349	144
708	349	143
709	350	143
710	350	142
711	351	142
712	351	141
713	352	141
714	352	140
715	353	140
716	353	139
717	354	139
718	354	138
719	355	138
